site,Latitude,Longitude,Drainage,AreaSurf,AreaLittoral,AreaWinter,WinterPoolElev,DepthMax,DepthMean,ShoreDev,ConstructionDate,DamHeight,Volume,Retention
Pymatuning Reservoir,41.499167,-80.460833,409,5635.6,1019.6,5035.6,307,10.7,4,4.14,1934,15,232000000,
Crooked Creek Lake,40.713333,-79.510002,756.28,141.7,66,141.7,256,11.3,4.1,3.1,1940,44,16012100,15
Somerset Lake,40.021111,-79.06778,10.1,102.4,,102,644,5.5,2.3,2.16,1956,8,2400000,
Loyalhanna Lake,40.456828,-79.451429,751.1,194,,,281,14.9,3.1,6.17,1942,35,6014000,
Mahoning Lake,40.919998,-79.276665,880.6,113,16.2,68.9,327,27.4,10.8,5.11,1939,49,12211536,9
Canonsburg Lake,40.273341,-80.137585,119.1,30.8,,,,,3.3,2.69,,14,,
Lake Erie,42.245804,-80.145116,,,,,,,,,,,,
Pymatuning Sanctuary,41.629722,-80.441667,,1101.3,954,1130,308,3.1,1.2,2.37,1933,4,12135600,
Blue Marsh Lake,40.378889,-76.031111,453.25,465.4,,389.9,87,15.5,8.9,7.9,1979,30,40876072,32
